listing name,room,confirmation,status,check in,check out,total payout
Discard: 300PT 16I,Discard: 300PT 16I,HMJWQTY8Y9,Past guest,"Aug 1, 2021","Aug 7, 2021","1,018.50"
Discard: Anna,Discard: Anna,HM3JPNY3FF,Past guest,"Aug 4, 2021","Aug 6, 2021",327.00
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMMQBT2D8Y,Past guest,"Aug 1, 2021","Aug 6, 2021",440.38
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HMK8JHXK3D,Past guest,"Jul 31, 2021","Aug 5, 2021",640.20
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HM83YQDYE3,Past guest,"Jul 31, 2021","Aug 3, 2021",395.76
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMN8CJTNKJ,Past guest,"Jul 31, 2021","Aug 3, 2021",414.19
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HMQHJ3ECNM,Past guest,"Jul 30, 2021","Aug 3, 2021",699.37
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HMT5SFSE4R,Past guest,"Jul 31, 2021","Aug 2, 2021",277.42
Discard: 300PT 2M,Discard: 300PT 2M,HMJ4WKH88Z,Past guest,"Jul 29, 2021","Aug 1, 2021",366.66
Discard: Anna,Discard: Anna,HMEA9QHB8W,Past guest,"Jul 30, 2021","Aug 1, 2021",491.59
Discard: Elsa,Discard: Elsa,HMRC2Q254Y,Past guest,"Jul 30, 2021","Aug 1, 2021",359.70
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMMF295ZCK,Past guest,"Jul 29, 2021","Jul 31, 2021",281.30
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMJT5YXJY4,Past guest,"Jul 29, 2021","Jul 31, 2021",271.60
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HMPZJAWZF2,Past guest,"Jul 29, 2021","Jul 31, 2021",270.63
Discard: 300PT 16I,Discard: 300PT 16I,HMZMKWFA3A,Past guest,"Jul 28, 2021","Jul 31, 2021",531.56
Discard: 300PT 2M,Discard: 300PT 2M,HM8H2QJZFK,Past guest,"Jul 24, 2021","Jul 27, 2021",345.32
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HM85FZEM2T,Past guest,"Jul 22, 2021","Jul 27, 2021",537.38
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMYZDFERFN,Past guest,"Jul 24, 2021","Jul 26, 2021",295.85
Discard: 300 PT 20M,Discard: 300 PT 20M,HMWHEB5T3B,Past guest,"Jul 23, 2021","Jul 26, 2021",368.60
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HMK9SJ2QFD,Past guest,"Jul 18, 2021","Jul 26, 2021",736.62
Discard: Elsa,Discard: Elsa,HMX89FBQJ3,Past guest,"Jul 23, 2021","Jul 26, 2021",512.30
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMFRH2584E,Past guest,"Jul 22, 2021","Jul 25, 2021",342.41
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HM8MRYFXM9,Past guest,"Jul 23, 2021","Jul 25, 2021",358.90
Discard: 300PT 16I,Discard: 300PT 16I,HM8H8FTHFF,Past guest,"Jul 23, 2021","Jul 25, 2021",450.08
Discard: Franz,Discard: Franz,HMYY9T9CT8,Past guest,"Jul 23, 2021","Jul 25, 2021",365.16
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HMZDTESE3M,Past guest,"Jul 23, 2021","Jul 25, 2021",461.72
Discard: Anna,Discard: Anna,HMNR8NTXKJ,Past guest,"Jul 23, 2021","Jul 25, 2021",359.70
Discard: 300PT 2M,Discard: 300PT 2M,HMNA4CAPXN,Past guest,"Jul 20, 2021","Jul 24, 2021",333.68
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMY4CBS45Y,Past guest,"Jul 17, 2021","Jul 24, 2021",787.64
Discard: Elsa,Discard: Elsa,HM98CFCQZY,Past guest,"Jul 18, 2021","Jul 20, 2021",359.70
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMWZQQEDEW,Past guest,"Jul 17, 2021","Jul 20, 2021",323.01
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HMW3J59FBQ,Past guest,"Jul 16, 2021","Jul 19, 2021",416.13
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HMP9B5TQR8,Past guest,"Jul 15, 2021","Jul 19, 2021",774.06
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HM9RNMMJME,Past guest,"Jul 10, 2021","Jul 19, 2021","1,631.54"
Discard: 300 PT 20M,Discard: 300 PT 20M,HMHFC83324,Past guest,"Jul 11, 2021","Jul 19, 2021",810.08
Discard: Anna,Discard: Anna,HM4KPE232N,Past guest,"Jul 16, 2021","Jul 18, 2021",359.70
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HM2RABCYEA,Past guest,"Jul 14, 2021","Jul 18, 2021",498.58
Discard: 300PT 2M,Discard: 300PT 2M,HMB2KHACXR,Past guest,"Jul 13, 2021","Jul 18, 2021",651.84
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMF2DY25EA,Past guest,"Jul 12, 2021","Jul 18, 2021",919.56
Discard: Elsa,Discard: Elsa,HMX5PRZZAZ,Past guest,"Jul 15, 2021","Jul 18, 2021",512.30
Discard: 300PT 16I,Discard: 300PT 16I,HMFKWMKPCJ,Past guest,"Jul 13, 2021","Jul 18, 2021","1,070.88"
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMMR45PHQS,Past guest,"Jul 13, 2021","Jul 17, 2021",453.96
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HM3P2TFKP3,Past guest,"Jul 14, 2021","Jul 16, 2021",233.77
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HMN3DCX8XW,Past guest,"Jul 9, 2021","Jul 12, 2021",372.48
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMNWHYFSB2,Past guest,"Jul 9, 2021","Jul 12, 2021",418.07
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HM4R495D9R,Past guest,"Jul 6, 2021","Jul 12, 2021",565.51
Discard: 300PT 16I,Discard: 300PT 16I,HMC922HJ95,Past guest,"Jul 10, 2021","Jul 12, 2021",385.09
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HM4MNWSN9J,Past guest,"Jul 9, 2021","Jul 12, 2021",477.24
Discard: Franz,Discard: Franz,HMZ8HK4NKF,Past guest,"Jul 9, 2021","Jul 12, 2021",522.24
