listing name,room,confirmation,status,check in,check out,total payout
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HMF2XAR5WC,Past guest,"Mar 16, 2023","Mar 17, 2023",87.30
BeachFront*2 Full*WIFI*Security*Laundry*Room-131,Room-131,HMQSQKD4RY,Past guest,"Mar 16, 2023","Mar 17, 2023",87.30
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HMRMH4AB2M,Past guest,"Mar 16, 2023","Mar 17, 2023",101.85
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMPTJWMF2T,Past guest,"Mar 15, 2023","Mar 16, 2023",87.30
BeachFront*2 Full*WIFI*Security*Laundry*Room-102,Room-102,HMA5XMAPQX,Past guest,"Mar 15, 2023","Mar 16, 2023",81.48
BeachFront*2 Full*WIFI*Security*Laundry*Room-112,Room-112,HM28DYB98N,Past guest,"Mar 14, 2023","Mar 16, 2023",131.44
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HM54MRT9KD,Past guest,"Mar 12, 2023","Mar 14, 2023",140.65
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HM9ZS9YQ9C,Past guest,"Mar 12, 2023","Mar 14, 2023",127.55
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMZSRQYD9T,Past guest,"Mar 10, 2023","Mar 14, 2023",641.75
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HM5RFH4342,Past guest,"Mar 12, 2023","Mar 13, 2023",82.45
Ocean View*BeachFront*1 King*WIFI*Laundry*Room 107,Room 107,HMTNAECFZQ,Past guest,"Mar 12, 2023","Mar 13, 2023",126.10
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HM9DY5XSMN,Past guest,"Mar 12, 2023","Mar 13, 2023",72.75
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HMHWCENCHT,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
BeachFront*2 Full*WIFI*Security*Laundry*Room- 110,Room- 110,HM5XPBK84N,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
BeachFront*1 King*WIFI*Security*Laundry*Room-137,Room-137,HMHKZ4DZ8Q,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
BeachFront*2 Full*WIFI*Security*Laundry*Room-112,Room-112,HMXRN9C4EZ,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
BeachFront*1 King*WIFI*Security*Laundry*Room-121,Room-121,HMHEHAXJ53,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room 108,Room 108,HMB3D8R9AE,Past guest,"Mar 11, 2023","Mar 12, 2023",174.60
BeachFront*2 full*WIFI*Security*Laundry*Room-127,Room-127,HMBX5FTY5C,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
BeachFront*1 King*WIFI*Security*Laundry*Room-111,Room-111,HMF9W3CB24,Past guest,"Mar 11, 2023","Mar 12, 2023",150.35
StreetFront*2 Full*WIFI*Security*Laundry*Room-138,Room-138,HMTKW93W9X,Past guest,"Mar 11, 2023","Mar 12, 2023",271.60
BeachFront*2 Full*WIFI*Security*Laundry*Room-104,Room-104,HMBFE9HWSS,Past guest,"Mar 11, 2023","Mar 12, 2023",271.60
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HMXZF2S4R9,Past guest,"Mar 11, 2023","Mar 12, 2023",271.60
BeachFront*1 King*WIFI*Security*Laundry*Room-101,Room-101,HMW2XP4DFZ,Past guest,"Mar 8, 2023","Mar 12, 2023",615.95
BeachFront*1 King*WIFI*Security*Laundry*Room-140,Room-140,HMQ2YTXJ9J,Past guest,"Mar 10, 2023","Mar 12, 2023",480.15
Ocean View*BeachFront*1 King*WIFI*Laundry*Room 107,Room 107,HMHJJ49QBX,Past guest,"Mar 9, 2023","Mar 12, 2023",608.67
BeachFront*2 Full*WIFI*Security*Laundry*LBO-124,LBO-124,HMPX52RSA2,Past guest,"Mar 10, 2023","Mar 12, 2023",480.15
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HM2AS9H5H8,Past guest,"Mar 10, 2023","Mar 12, 2023",480.15
BeachFront*1 King*WIFI*Security*Laundry*Room-105,Room-105,HMWAP59DBJ,Past guest,"Mar 10, 2023","Mar 12, 2023",480.15
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HMFDMMC82Z,Past guest,"Mar 8, 2023","Mar 12, 2023",632.92
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HM59FCRMNN,Past guest,"Mar 10, 2023","Mar 12, 2023",392.85
BeachFront*2 Full*WIFI*Security*Laundry*Room-132,Room-132,HMJHHFWFT4,Past guest,"Mar 9, 2023","Mar 12, 2023",725.07
BeachFront*1 King*WIFI*Security*Laundry*Room-116,Room-116,HMNEFQCFJY,Past guest,"Mar 8, 2023","Mar 12, 2023",940.90
BeachFront*2 Full*WIFI*Security*Laundry*Room-126,Room-126,HMWHQHC3JH,Past guest,"Mar 9, 2023","Mar 12, 2023",725.07
BeachFront*2 Full*WIFI*Security*Laundry*Room-134,Room-134,HMQ4YFXPX4,Past guest,"Mar 10, 2023","Mar 12, 2023",514.10
BeachFront*1 King*WIFI*Security*Laundry*Room-114,Room-114,HMCZHAXAZT,Past guest,"Mar 10, 2023","Mar 12, 2023",514.10
BeachFront*2 Full*WIFI*Security*Laundry*Room-139,Room-139,HMS5NSPQN3,Past guest,"Mar 10, 2023","Mar 12, 2023",611.10
BeachFront*2 Full*WIFI*Security*Laundry*Room-133,Room-133,HMC4XJE4RK,Past guest,"Mar 9, 2023","Mar 12, 2023",860.39
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HMJN5JEXMR,Past guest,"Mar 9, 2023","Mar 12, 2023",690.80
BeachFront*2 Full*WIFI*Security*Laundry*Room-117,Room-117,HM92YKYPRD,Past guest,"Mar 8, 2023","Mar 12, 2023",970.00
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HMY2ADW3QS,Past guest,"Mar 1, 2023","Mar 12, 2023","2,296.96"
